NUM_POSTE,lat,lon,altitude
00000001,44.295667,3.165667,890
00000002,45.872833,2.5265,724
00000003,49.687833,2.473167,110
00000004,44.116667,0.873,67
00000005,42.4845,1.939333,1446
00000006,44.773333,1.008333,90
00000007,42.993167,2.819167,120
00000008,46.137667,1.265167,282
00000009,48.660333,-4.0775,58
00000010,45.368167,6.5105,1443
00000011,48.586333,3.819,77
00000012,48.55,-3.3875,158
00000013,44.494,3.852,900
00000014,42.430667,9.340833,780
00000015,43.471167,0.904333,167
00000016,44.016667,6.253333,600
00000017,50.190333,3.2565,42
00000018,47.423167,0.663667,93
00000019,43.274,3.165,23
00000020,47.984333,0.491833,134
00000021,46.9525,4.674,417
00000022,45.577833,6.895167,1524
00000023,46.520833,4.723,254
00000024,45.601833,6.886833,1230
00000025,46.140667,2.2645,440
00000026,48.563,5.5055,390
00000027,46.2315,3.155333,310
00000028,48.091333,1.666167,132
00000029,48.853333,-0.55,90
00000030,47.07,4.089667,439
00000031,43.658833,6.471333,892
00000032,47.787,6.363833,271
00000033,44.617333,5.451,537
00000034,48.739,0.358167,280
00000035,46.494,-0.064333,138
00000036,49.483333,0.101667,9
00000037,49.509,0.071167,100
00000038,43.472,2.584167,347
00000039,44.666,4.159833,480
00000040,45.335,6.348333,1420
00000041,45.696667,3.429167,585
00000042,46.0385,5.044333,280
00000043,47.510667,-2.796,35
00000044,45.478667,4.810667,295
00000045,47.879,-3.709167,77
00000046,46.941167,2.405833,174
00000047,47.867,1.8445,100
00000048,49.866667,4.853333,186
00000049,44.6655,5.906667,1915
00000050,47.507,5.5955,244
00000051,42.234833,9.174167,615
00000052,49.140333,-0.155,53
00000053,44.048667,-0.650667,81
00000054,45.953333,6.393,830
00000055,47.68,4.524833,344
00000056,48.674833,-0.079667,171
00000057,43.309333,5.426167,137
00000058,43.957167,6.372333,743
00000059,47.961667,1.418333,127
00000060,44.746667,3.521667,1418
00000061,46.355167,2.574667,229
00000062,46.012167,3.354167,394
00000063,47.688667,7.429167,249
00000064,44.643333,-1.165,33
00000065,45.723,3.019333,893
00000066,45.733833,1.701167,557
00000067,46.625,5.228333,179
00000068,43.7935,6.150833,665
00000069,46.098,6.2605,747
00000070,47.864667,0.456667,122
00000071,45.061667,4.918333,175
00000072,43.938167,5.2255,488
00000073,45.395,-1.038333,6
00000074,50.116,4.7795,109
