lat,lon,altitude
41.3953,9.1329,24.3
41.394,9.1627,55.9
41.3928,9.1925,68.6
41.3916,9.2224,43.5
41.4189,9.1047,7.5
41.4176,9.1345,127.3
41.4164,9.1644,107.7
41.4152,9.1942,70.1
41.44,9.1362,65.6
41.4388,9.166,176.8
41.4375,9.1959,71.9
41.4648,9.0781,25.3
41.4636,9.1079,69.2
41.4624,9.1378,125.5
41.4612,9.1677,143.5
41.4599,9.1975,93.1
41.4587,9.2274,84.2
41.4931,8.9303,10.3
41.492,8.9602,44.5
41.4908,8.9901,42.2
41.4896,9.02,36.6
41.4884,9.0498,56.7
41.4872,9.0797,15.4
41.486,9.1096,41.2
41.4848,9.1394,145.8
41.4835,9.1693,161.3
41.4823,9.1992,229.0
41.481,9.229,157.9
41.4798,9.2589,93.2
41.5167,8.902,62.4
41.5155,8.9319,58.5
41.5143,8.9618,208.4
41.5132,8.9917,198.5
41.512,9.0215,142.3
41.5108,9.0514,137.5
41.5096,9.0813,40.7
41.5084,9.1112,27.5
41.5071,9.1411,85.1
41.5059,9.1709,197.5
41.5047,9.2008,201.7
41.5034,9.2307,193.7
41.5022,9.2606,81.0
41.5402,8.8736,73.2
41.539,8.9035,88.3
41.5379,8.9334,150.7
41.5367,8.9633,95.7
41.5355,8.9932,330.2
41.5343,9.0231,350.0
41.5331,9.053,380.1
41.5319,9.0829,223.5
41.5307,9.1128,186.3
41.5295,9.1427,85.7
41.5283,9.1726,130.7
41.527,9.2025,61.0
41.5258,9.2324,139.1
41.5245,9.2623,46.4
41.5649,8.8154,68.5
41.5637,8.8453,101.5
41.5626,8.8752,76.2
41.5614,8.9051,120.1
41.5603,8.935,184.6
41.5591,8.9649,145.9
41.5579,8.9948,184.8
41.5567,9.0247,421.9
41.5555,9.0546,744.7
41.5543,9.0845,704.2
41.5531,9.1144,505.6
41.5519,9.1443,223.3
41.5507,9.1742,95.8
41.5494,9.2041,49.2
41.5482,9.234,91.3
41.5469,9.2639,79.6
41.5457,9.2938,39.8
41.5872,8.8169,120.2
41.5861,8.8468,158.6
