NUM_POSTE,lat,lon,altitude
00000001,46.116667,3.683333,345
00000002,44.2335,2.737167,860
00000003,49.417,6.505833,291
00000004,44.775,4.156667,1123
00000005,41.9065,9.126667,630
00000006,42.631667,2.133333,1440
00000007,42.384667,2.095333,2471
00000008,41.7965,9.225667,1212
00000009,47.207833,4.2835,492
00000010,44.653333,0.116667,100
00000011,44.946667,6.188333,1570
00000012,48.466667,1.215,205
00000013,46.568333,6.08,1097
00000014,48.588667,3.557667,82
00000015,47.767333,-3.125333,27
00000016,49.1545,1.072667,145
00000017,45.535,1.793333,505
00000018,47.588333,-2.24,26
00000019,49.070333,7.213333,297
00000020,43.871167,6.168833,775
00000021,45.666667,0.216667,83
00000022,43.718333,3.866667,69
00000023,46.536333,3.423167,275
00000024,43.763333,5.63,460
00000025,45.705,3.8505,860
00000026,48.533333,6.983333,440
00000027,45.176,6.493833,1788
00000028,49.475,0.45,10
00000029,44.869333,6.7235,1614
00000030,46.2835,3.337833,250
00000031,45.495,-1.08,3
00000032,47.528333,5.378333,232
00000033,48.911667,2.828333,46
00000034,42.546667,2.588333,795
00000035,44.834667,2.814,930
00000036,44.015,1.431667,213
00000037,49.696667,3.626667,70
00000038,42.508333,2.12,1620
00000039,49.138333,0.405,130
00000040,47.210333,-1.828667,4
00000041,45.841667,1.91,710
00000042,44.933333,3.083333,960
00000043,44.151167,5.319667,1455
00000044,48.641667,5.445,233
00000045,43.9,7.433333,349
00000046,45.668667,5.203667,250
00000047,45.1165,4.277167,848
00000048,48.328667,0.800167,131
00000049,48.873,7.364167,245
00000050,43.656667,5.607,217
00000051,48.788833,0.438,297
00000052,44.9775,1.837667,146
00000053,48.838667,2.2745,32
00000054,48.831,2.299333,57
00000055,48.936667,5.41,325
00000056,45.478667,4.810667,295
00000057,46.94,1.235,105
00000058,49.691667,2.783333,88
00000059,47.391667,3.751667,190
00000060,43.26,0.736667,350
00000061,48.108333,-3.425,205
00000062,42.705,1.665333,1090
