NUM_POSTE_obs,lat_obs,lon_obs,NUM_POSTE_mod,lat_mod,lon_mod
10002001,48.254167,4.685667,64178,48.2454,4.6988
10009002,48.051667,4.278333,61066,48.042,4.2623
10010002,48.538333,4.606667,68866,48.5373,4.5964
10021001,48.451333,4.283667,67432,48.4466,4.292
10030001,48.324667,4.02,65593,48.3328,4.0227
10033001,48.231667,4.708333,63823,48.2229,4.6988
10033002,48.238333,4.705,64178,48.2454,4.6988
10034001,48.120833,4.371667,62073,48.1098,4.3625
10042001,48.179,3.663333,63087,48.1725,3.6544
10045002,48.183333,4.466667,63111,48.1776,4.463
10051001,48.191667,3.996667,63447,48.1978,3.991
10057001,48.439833,3.504833,67409,48.4407,3.5131
10059001,48.489,4.4755,68148,48.4921,4.461
10060001,48.263333,4.09,64517,48.2658,4.0912
10070001,48.0675,4.411333,61402,48.065,4.3965
10075001,48.619667,4.050833,70299,48.625,4.0524
10079002,47.940333,4.251,59435,47.9297,4.2634
10080001,48.048333,4.16,61063,48.0415,4.1614
10099002,48.0255,3.915,60726,48.0175,3.9266
1010001,45.9,5.766667,35642,45.9036,5.7693
10102001,48.261667,4.779667,64537,48.2679,4.7662
10119001,48.0365,4.6785,61078,48.0431,4.6656
10119002,48.041667,4.666667,61078,48.0431,4.6656
10120001,48.019667,4.105667,60731,48.0187,4.0945
10125001,48.33,3.826667,65587,48.3313,3.82
10128001,48.511667,4.435,68504,48.5145,4.427
10130001,48.609167,4.224667,69939,48.6035,4.2225
10140001,48.041667,3.91,61056,48.04,3.9262
1014001,46.266667,5.65,39587,46.2643,5.6455
1014002,46.278167,5.669,39826,46.2866,5.6784
10141001,48.039167,4.493833,61073,48.0428,4.4975
10155001,48.081667,4.61,61743,48.088,4.5982
10166002,48.468167,4.016833,67780,48.4676,4.0207
10202001,48.082833,4.098667,61728,48.0861,4.0936
10203002,48.149667,4.831333,62773,48.1556,4.8337
10209001,48.256667,4.265,64522,48.2667,4.26
10221001,48.434333,4.587,67073,48.425,4.5969
10223001,48.346167,3.636,65943,48.3522,3.6505
10228001,48.365,4.473333,65967,48.3573,4.4619
10228002,48.353167,4.472333,65967,48.3573,4.4619
10233002,48.505,3.886667,68488,48.5115,3.8844
