NUM_POSTE,lat,lon,altitude
10002001,48.254167,4.685667,195
10009002,48.051667,4.278333,186
10010002,48.538333,4.606667,134
10021001,48.451333,4.283667,118
10030001,48.324667,4.02,112
10033001,48.231667,4.708333,193
10033002,48.238333,4.705,168
10034001,48.120833,4.371667,150
10042001,48.179,3.663333,146
10045002,48.183333,4.466667,240
10051001,48.191667,3.996667,160
10057001,48.439833,3.504833,102
10059001,48.489,4.4755,120
10060001,48.263333,4.09,115
10070001,48.0675,4.411333,275
10075001,48.619667,4.050833,118
10079002,47.940333,4.251,302
10080001,48.048333,4.16,205
10099002,48.0255,3.915,119
1010001,45.9,5.766667,280
10102001,48.261667,4.779667,252
10119001,48.0365,4.6785,315
10119002,48.041667,4.666667,252
10120001,48.019667,4.105667,220
10125001,48.33,3.826667,145
10128001,48.511667,4.435,110
10130001,48.609167,4.224667,115
10140001,48.041667,3.91,135
1014001,46.266667,5.65,535
1014002,46.278167,5.669,534
10141001,48.039167,4.493833,280
10155001,48.081667,4.61,305
10166002,48.468167,4.016833,111
10202001,48.082833,4.098667,150
10203002,48.149667,4.831333,202
10209001,48.256667,4.265,127
10221001,48.434333,4.587,123
10223001,48.346167,3.636,128
10228001,48.365,4.473333,132
10228002,48.353167,4.472333,145
10233002,48.505,3.886667,81
10238001,48.244833,4.322167,142
10240002,48.266333,3.905167,158
10241001,48.0745,4.101167,140
1025001,46.325167,4.953167,200
10255002,48.217333,4.275833,150
10256001,48.445,4.131667,135
10261001,47.983833,4.495833,193
10268003,48.491667,3.5,65
1027001,45.833333,5.083333,197
1027002,45.832833,5.086,184
1027003,45.833,5.106667,196
10274001,48.445,3.8365,101
1028001,46.122,4.9045,243
10282001,48.381667,3.976667,96
10287002,48.363333,4.333333,120
10287003,48.363,4.3215,117
1029001,46.411667,5.263333,210
10291001,48.5775,3.586,95
10306001,48.23,4.693333,175
10313001,48.35,4.483333,136
10317001,47.997167,4.372,185
10317002,47.981333,4.3305,274
10323001,48.503333,3.7495,77
10327001,48.344333,4.557833,136
1033001,46.103333,5.846667,500
1033002,46.0865,5.814167,350
10334001,48.486167,3.538833,78
10339001,48.401667,3.763333,114
1034001,45.755,5.686667,277
1034004,45.769333,5.688,330
10350001,48.169833,3.789,227
10360001,48.238833,4.049833,122
10369001,48.677167,4.096167,137
1037001,45.862333,5.484167,944
10372001,48.399333,4.671333,138
10373001,48.203333,4.0,168
10374002,48.231667,4.616667,175
10387002,48.295,4.071667,115
10391001,48.372333,4.125833,152
10401001,48.233,4.463,180
10419001,48.1785,4.233833,134
10420001,48.588667,3.557667,82
10428002,48.331833,4.7495,202
10428003,48.331667,4.746667,196
10429001,48.532833,4.119667,98
1043001,45.837333,4.990667,220
10432001,48.063667,4.253333,237
10438001,48.144333,4.554167,237
10442001,48.467833,4.181833,170
1053001,46.206667,5.221667,240
1053003,46.215,5.258333,250
1059001,45.948333,5.721667,695
1064001,45.777167,5.487167,281
1068001,46.082,5.465167,315
1071001,46.310333,6.080333,507
1072001,46.204333,5.287667,260
1082001,46.003333,5.788333,480
1085001,46.07,5.025,266
1089001,45.9765,5.329333,250
1092001,45.969,5.251,257
11004001,43.1125,2.098333,293
11011001,43.296667,2.315,180
11012001,43.308167,2.911667,31
11013001,43.238333,2.768333,34
11015001,42.951833,2.374833,350
11016001,43.101667,2.501667,250
11016003,43.100833,2.503333,240
11018001,43.226667,2.206667,130
11020001,42.94,2.493333,390
11021002,42.803333,2.23,415
11028001,42.8195,1.968,980
11033002,43.178333,1.78,260
11033003,43.200333,1.748333,235
11034001,43.126667,2.095,240
11038001,42.788333,2.125,530
11038002,42.788333,2.125,554
1104001,46.24,5.896667,700
11044001,42.986667,2.451667,640
11047001,42.743333,2.16,1160
11048001,43.15,2.793333,85
11049001,43.241667,2.126167,134
1105001,45.911667,4.891167,291
11055001,42.878333,2.348333,452
11056001,43.358333,2.463333,310
11068001,43.187333,2.5505,79
11068003,43.185,2.558333,79
11069001,43.215333,2.2955,128
