file,lat,lon,me
data\obs_vs_mod\horaire\lat_41.374833_lon_9.178333_me_0.01.parquet,41.374833,9.178333,0.01
data\obs_vs_mod\horaire\lat_41.505167_lon_9.103667_me_0.00.parquet,41.505167,9.103667,0.0
data\obs_vs_mod\horaire\lat_41.652333_lon_8.979333_me_-0.01.parquet,41.652333,8.979333,-0.01
data\obs_vs_mod\horaire\lat_41.669667_lon_9.184333_me_-0.02.parquet,41.669667,9.184333,-0.02
data\obs_vs_mod\horaire\lat_41.717_lon_9.3485_me_0.01.parquet,41.717,9.3485,0.01
data\obs_vs_mod\horaire\lat_41.777667_lon_9.142833_me_0.04.parquet,41.777667,9.142833,0.04
data\obs_vs_mod\horaire\lat_41.8145_lon_8.903667_me_-0.01.parquet,41.8145,8.903667,-0.01
data\obs_vs_mod\horaire\lat_41.918_lon_8.792667_me_-0.01.parquet,41.918,8.792667,-0.01
data\obs_vs_mod\horaire\lat_41.921833_lon_9.400833_me_0.00.parquet,41.921833,9.400833,0.0
data\obs_vs_mod\horaire\lat_41.943_lon_9.123_me_0.04.parquet,41.943,9.123,0.04
data\obs_vs_mod\horaire\lat_42.0785_lon_8.802333_me_-0.02.parquet,42.0785,8.802333,-0.02
data\obs_vs_mod\horaire\lat_42.104167_lon_9.103333_me_0.19.parquet,42.104167,9.103333,0.19
data\obs_vs_mod\horaire\lat_42.169667_lon_9.165833_me_0.05.parquet,42.169667,9.165833,0.05
data\obs_vs_mod\horaire\lat_42.188833_lon_8.655333_me_0.01.parquet,42.188833,8.655333,0.01
data\obs_vs_mod\horaire\lat_42.190167_lon_8.807167_me_-0.01.parquet,42.190167,8.807167,-0.01
data\obs_vs_mod\horaire\lat_42.259667_lon_9.5415_me_0.00.parquet,42.259667,9.5415,0.0
data\obs_vs_mod\horaire\lat_42.299833_lon_9.174333_me_0.01.parquet,42.299833,9.174333,0.01
data\obs_vs_mod\horaire\lat_42.368333_lon_2.458333_me_0.04.parquet,42.368333,2.458333,0.04
data\obs_vs_mod\horaire\lat_42.399833_lon_2.557833_me_0.02.parquet,42.399833,2.557833,0.02
data\obs_vs_mod\horaire\lat_42.439833_lon_2.5125_me_0.04.parquet,42.439833,2.5125,0.04
data\obs_vs_mod\horaire\lat_42.445_lon_2.013333_me_0.01.parquet,42.445,2.013333,0.01
data\obs_vs_mod\horaire\lat_42.473333_lon_2.8595_me_0.01.parquet,42.473333,2.8595,0.01
data\obs_vs_mod\horaire\lat_42.516167_lon_3.133667_me_0.01.parquet,42.516167,3.133667,0.01
data\obs_vs_mod\horaire\lat_42.5295_lon_8.7915_me_-0.02.parquet,42.5295,8.7915,-0.02
data\obs_vs_mod\horaire\lat_42.5365_lon_2.760833_me_0.01.parquet,42.5365,2.760833,0.01
data\obs_vs_mod\horaire\lat_42.540667_lon_9.485167_me_-0.02.parquet,42.540667,9.485167,-0.02
data\obs_vs_mod\horaire\lat_42.541_lon_9.172_me_-0.00.parquet,42.541,9.172,-0.0
data\obs_vs_mod\horaire\lat_42.545_lon_2.826667_me_0.01.parquet,42.545,2.826667,0.01
data\obs_vs_mod\horaire\lat_42.548333_lon_2.386667_me_0.02.parquet,42.548333,2.386667,0.02
data\obs_vs_mod\horaire\lat_42.587333_lon_2.679833_me_0.01.parquet,42.587333,2.679833,0.01
data\obs_vs_mod\horaire\lat_42.613333_lon_2.105_me_0.02.parquet,42.613333,2.105,0.02
data\obs_vs_mod\horaire\lat_42.616_lon_2.111333_me_0.03.parquet,42.616,2.111333,0.03
data\obs_vs_mod\horaire\lat_42.630167_lon_2.446333_me_0.02.parquet,42.630167,2.446333,0.02
data\obs_vs_mod\horaire\lat_42.632333_lon_9.3205_me_-0.01.parquet,42.632333,9.3205,-0.01
data\obs_vs_mod\horaire\lat_42.633167_lon_8.922667_me_0.00.parquet,42.633167,8.922667,0.0
data\obs_vs_mod\horaire\lat_42.636667_lon_9.343333_me_-0.02.parquet,42.636667,9.343333,-0.02
data\obs_vs_mod\horaire\lat_42.648333_lon_2.731667_me_0.01.parquet,42.648333,2.731667,0.01
