2025-03-26 10:06:38,754 | __main__ | INFO | Logger initialisé avec fichier : logs/pipeline/observed\pipeline_obs_to_nc_download_2025-03-26-10-06.log
2025-03-26 10:06:38,755 | __main__ | INFO | Démarrage du pipeline observations (ZIP) → .nc avec la config : config/observed_settings.yaml
2025-03-26 10:06:38,755 | __main__ | INFO | --- Début du téléchargement des ZIP
2025-03-26 10:06:38,755 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 01
2025-03-26 10:06:38,756 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 01
2025-03-26 10:06:38,765 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 01
2025-03-26 10:06:38,765 | __main__ | INFO | Fichier échelle horaire_1980-1989 déjà présent pour le département 01
2025-03-26 10:06:38,765 | __main__ | INFO | Fichier échelle horaire_1990-1999 déjà présent pour le département 01
2025-03-26 10:06:38,765 | __main__ | INFO | Fichier échelle horaire_2000-2009 déjà présent pour le département 01
2025-03-26 10:06:50,098 | __main__ | INFO | Téléchargement terminé pour le département 01 à l'échelle horaire
2025-03-26 10:06:54,610 | __main__ | INFO | Téléchargement terminé pour le département 01 à l'échelle horaire
2025-03-26 10:06:54,809 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:06:55,012 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:06:55,264 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:06:55,583 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:06:57,376 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:07:05,755 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:07:15,250 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:07:18,728 | __main__ | INFO | Téléchargement terminé pour le département 02 à l'échelle horaire
2025-03-26 10:07:18,924 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:19,156 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:19,403 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:19,603 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:25,206 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:40,566 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:53,861 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:59,459 | __main__ | INFO | Téléchargement terminé pour le département 03 à l'échelle horaire
2025-03-26 10:07:59,607 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:07:59,818 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:00,018 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:00,258 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:01,209 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:09,203 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:18,921 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:26,165 | __main__ | INFO | Téléchargement terminé pour le département 04 à l'échelle horaire
2025-03-26 10:08:26,673 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:26,952 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:27,659 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:27,944 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:28,953 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:41,884 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:08:59,991 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:09:08,566 | __main__ | INFO | Téléchargement terminé pour le département 05 à l'échelle horaire
2025-03-26 10:09:08,901 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:09:09,429 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:09:09,881 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:09:10,857 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:09:21,397 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:09:49,551 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:10:24,356 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:10:47,419 | __main__ | INFO | Téléchargement terminé pour le département 06 à l'échelle horaire
2025-03-26 10:10:47,476 | __main__ | WARNING | Impossible de DL https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/HOR/H_07_1950-1959.csv.gz (status=404)
2025-03-26 10:10:47,612 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:10:47,817 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:10:47,961 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:10:57,374 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:11:38,959 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:12:37,506 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:13:03,097 | __main__ | INFO | Téléchargement terminé pour le département 07 à l'échelle horaire
2025-03-26 10:13:03,176 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:03,273 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:03,357 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:03,425 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:15,448 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:29,744 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:50,913 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:59,264 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:59,444 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:13:59,675 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:00,004 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:00,379 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:03,678 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:15,304 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:28,948 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:34,292 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:34,500 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,112 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,354 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,633 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:41,387 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:55,885 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:19,790 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:31,456 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:31,726 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:31,945 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:32,206 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:32,647 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:46,422 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:16:15,565 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:16:50,090 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:17:04,296 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:17:04,528 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:04,792 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:05,088 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:05,448 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:08,002 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:20,753 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:40,910 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
