nohup: ignoring input
2025-11-23 10:58:20,340 - INFO - Lancement des générations de maps
2025-11-23 10:58:22,243 | __main__ | INFO | Echelle quotidien - Saison hydro données générées
2025-11-23 10:58:22,323 | __main__ | INFO | Echelle quotidien - Saison jfm données générées
2025-11-23 10:58:22,422 | __main__ | INFO | Echelle quotidien - Saison amj données générées
2025-11-23 10:58:22,492 | __main__ | INFO | Echelle quotidien - Saison jas données générées
2025-11-23 10:58:22,557 | __main__ | INFO | Echelle quotidien - Saison ond données générées
2025-11-23 10:58:33,341 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/hydro/scatter.svg
2025-11-23 10:58:33,582 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/jfm/scatter.svg
2025-11-23 10:58:33,833 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/amj/scatter.svg
2025-11-23 10:58:34,059 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/jas/scatter.svg
2025-11-23 10:58:34,292 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/ond/scatter.svg
2025-11-23 10:58:34,296 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_5/sat_99.0/metrics.csv
2025-11-23 10:58:36,853 | __main__ | INFO | Echelle quotidien - Saison jan données générées
2025-11-23 10:58:36,929 | __main__ | INFO | Echelle quotidien - Saison fev données générées
2025-11-23 10:58:37,004 | __main__ | INFO | Echelle quotidien - Saison mar données générées
2025-11-23 10:58:37,076 | __main__ | INFO | Echelle quotidien - Saison avr données générées
2025-11-23 10:58:37,143 | __main__ | INFO | Echelle quotidien - Saison mai données générées
2025-11-23 10:58:37,213 | __main__ | INFO | Echelle quotidien - Saison jui données générées
2025-11-23 10:58:37,282 | __main__ | INFO | Echelle quotidien - Saison juill données générées
2025-11-23 10:58:37,347 | __main__ | INFO | Echelle quotidien - Saison aou données générées
2025-11-23 10:58:37,417 | __main__ | INFO | Echelle quotidien - Saison sep données générées
2025-11-23 10:58:37,477 | __main__ | INFO | Echelle quotidien - Saison oct données générées
2025-11-23 10:58:37,547 | __main__ | INFO | Echelle quotidien - Saison nov données générées
2025-11-23 10:58:37,611 | __main__ | INFO | Echelle quotidien - Saison dec données générées
2025-11-23 10:59:03,272 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/jan/scatter.svg
2025-11-23 10:59:03,496 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/fev/scatter.svg
2025-11-23 10:59:03,731 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/mar/scatter.svg
2025-11-23 10:59:03,992 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/avr/scatter.svg
2025-11-23 10:59:04,245 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/mai/scatter.svg
2025-11-23 10:59:04,490 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/jui/scatter.svg
2025-11-23 10:59:04,747 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/juill/scatter.svg
2025-11-23 10:59:04,974 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/aou/scatter.svg
2025-11-23 10:59:05,237 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/sep/scatter.svg
2025-11-23 10:59:05,499 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/oct/scatter.svg
2025-11-23 10:59:05,791 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/nov/scatter.svg
2025-11-23 10:59:06,045 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/dec/scatter.svg
2025-11-23 10:59:06,050 | __main__ | INFO | outputs/maps/gev_z_T_p/quotidien/compare_12/sat_99.0/metrics.csv
2025-11-23 10:59:09,080 | __main__ | INFO | Echelle horaire - Saison hydro données générées
2025-11-23 10:59:09,166 | __main__ | INFO | Echelle horaire - Saison jfm données générées
2025-11-23 10:59:09,250 | __main__ | INFO | Echelle horaire - Saison amj données générées
2025-11-23 10:59:09,329 | __main__ | INFO | Echelle horaire - Saison jas données générées
2025-11-23 10:59:09,403 | __main__ | INFO | Echelle horaire - Saison ond données générées
2025-11-23 10:59:20,489 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/hydro/scatter.svg
2025-11-23 10:59:20,716 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/jfm/scatter.svg
2025-11-23 10:59:20,909 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/amj/scatter.svg
2025-11-23 10:59:21,142 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/jas/scatter.svg
2025-11-23 10:59:21,371 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/ond/scatter.svg
2025-11-23 10:59:21,374 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_5/sat_90.0/metrics.csv
2025-11-23 10:59:24,279 | __main__ | INFO | Echelle horaire - Saison jan données générées
2025-11-23 10:59:24,351 | __main__ | INFO | Echelle horaire - Saison fev données générées
2025-11-23 10:59:24,430 | __main__ | INFO | Echelle horaire - Saison mar données générées
2025-11-23 10:59:24,501 | __main__ | INFO | Echelle horaire - Saison avr données générées
2025-11-23 10:59:24,570 | __main__ | INFO | Echelle horaire - Saison mai données générées
2025-11-23 10:59:24,637 | __main__ | INFO | Echelle horaire - Saison jui données générées
2025-11-23 10:59:24,700 | __main__ | INFO | Echelle horaire - Saison juill données générées
2025-11-23 10:59:24,765 | __main__ | INFO | Echelle horaire - Saison aou données générées
2025-11-23 10:59:24,825 | __main__ | INFO | Echelle horaire - Saison sep données générées
2025-11-23 10:59:24,891 | __main__ | INFO | Echelle horaire - Saison oct données générées
2025-11-23 10:59:24,956 | __main__ | INFO | Echelle horaire - Saison nov données générées
2025-11-23 10:59:25,018 | __main__ | INFO | Echelle horaire - Saison dec données générées
2025-11-23 10:59:50,634 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/jan/scatter.svg
2025-11-23 10:59:50,861 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/fev/scatter.svg
2025-11-23 10:59:51,092 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/mar/scatter.svg
2025-11-23 10:59:51,312 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/avr/scatter.svg
2025-11-23 10:59:51,562 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/mai/scatter.svg
2025-11-23 10:59:51,768 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/jui/scatter.svg
2025-11-23 10:59:52,003 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/juill/scatter.svg
2025-11-23 10:59:52,236 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/aou/scatter.svg
2025-11-23 10:59:52,493 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/sep/scatter.svg
